,ID,subject,subject_clean,Len
650,295, 'good value',good value,2
651,295, 'full movie',full movie,2
652,295, 'watch',watch,1
653,295, 'actually',actually,1
654,296,'small gathering',small gathering,2
655,296, 'party',party,1
656,296, 'great',great,1
657,296, 'friend',friend,1
658,297,'overall great product',overall great product,3
659,298,'excellent product well',excellent product well,3
660,298, 'expect',expect,1
661,299,'home dream',home dream,2
662,299, 'away',away,1
663,300,'great little projector',great little projector,3
664,301,'awesome',awesome,1
666,302,'work great',work great,2
668,303,'plex capable portable projector',plex capable portable projector,4
669,303, 'hit',hit,1
670,304,'projector',projector,1
671,304, 'love',love,1
672,305,'movie',movie,1
673,306,'worth every penny',worth every penny,3
674,307,'miss',miss,1
675,308,'amaze quality',amaze quality,2
676,309,'great little projector',great little projector,3
677,310,'great product',great product,2
678,310,'unfortunately',unfortunately,1
679,311,'wonderful',wonderful,1
680,312,'fun device',fun device,2
681,313,'use',use,1
682,313, 'easy',easy,1
683,314,'nighttime backyard movie',nighttime backyard movie,3
684,314, 'perfect',perfect,1
685,315,'great little projector',great little projector,3
686,316,'well',well,1
687,316, 'expect',expect,1
688,317,'good projector',good projector,2
689,317, 'price',price,1
690,318,'great picture sound',great picture sound,3
691,319,'small venue',small venue,2
692,319, 'good',good,1
693,320,'bad mofo',bad mofo,2
694,321,'not wait',not wait,2
695,321, 'use',use,1
696,321, 'outdoors',outdoors,1
697,321, 'love',love,1
699,322,'awesome',awesome,1
700,323,'perfect picture quality',perfect picture quality,3
701,323, 'easy setup',easy setup,2
702,324,'surprise',surprise,1
703,325,'versatile',versatile,1
704,325, 'portable',portable,1
705,326,'buy 10',buy 10,2
706,326, 'need',need,1
707,327,'good product',good product,2
708,328,'go',go,1
709,329,'love love love',love love love,3
710,330,'nice little projector',nice little projector,3
711,331,'really nice',really nice,2
712,331, 'size',size,1
713,332,'great buy',great buy,2
714,332,'try',try,1
715,332, 'suggest',suggest,1
716,333,'good product',good product,2
717,333, 'recommend',recommend,1
718,334,'best',best,1
719,335,'great sound',great sound,2
720,335, 'easy set',easy set,2
721,335, 'picture',picture,1
722,336,'product watch netflix',product watch netflix,3
723,336, 'work fantastic',work fantastic,2
724,336, 'physically use',physically use,2
725,336, 'walk',walk,1
726,336, 'turn',turn,1
727,336, 'stayed',stayed,1
728,336, 'setup',setup,1
729,336, 'phone',phone,1
730,336, 'not',not,1
731,336, 'easy',easy,1
732,336,'recommend',recommend,1
733,336, 'product',product,1
734,336, 'not',not,1
736,337,'amaze projector',amaze projector,2
737,338,'wonderful device',wonderful device,2
738,339,'work great',work great,2
739,340,'buen producto',buen producto,2
740,341,'size',size,1
741,341, 'great',great,1
742,342,'awsome',awsome,1
743,343,'great product ... great customer support',great product great customer support,5
744,344,'great surprise',great surprise,2
745,345,'work great',work great,2
746,345, 'afghanistan',afghanistan,1
748,346,'excellent product',excellent product,2
749,347,'little guy',little guy,2
750,347, 'awesome',awesome,1
751,347,'large projector ...',large projector,2
752,347, 'job',job,1
753,348,'almost perfect',almost perfect,2
754,349,'fantastic picture',fantastic picture,2
755,349, 'sound',sound,1
756,349, 'setup',setup,1
757,349, 'easy',easy,1
758,350,'quality',quality,1
759,351,'price',price,1
760,351, 'awesome',awesome,1
761,352,'awesome',awesome,1
762,353,'theater type device',theater type device,3
763,354,'incorporate',incorporate,1
764,355,'great portable projector',great portable projector,3
765,355,'good price point',good price point,3
766,355,'worth',worth,1
768,356,'worth',worth,1
769,356, 'money',money,1
770,357,'need tweak',need tweak,2
771,357, 'good',good,1
772,358,'fantastic portable projector',fantastic portable projector,3
773,359,'camp gadget',camp gadget,2
774,359, 'must',must,1
775,360,'best gift',best gift,2
776,360, 'christmas',christmas,1
777,361,'soda',soda,1
778,361, 'movie',movie,1
